total words: 10049, frequent words (> 100): 1273, cutoff: 0.002
top words: 20, super top words: 2, cutoff: 0.1
#POLYSEMOUS TERMS
	[ABORTUS, Assessment_Section, Percent_Unit, Androgen_Response_Element, Abortus, Left_Arm]
Mesopharynx	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Oropharynx	Entire oropharynx
Oropharynxs	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Oropharynx	Entire oropharynx
Trunk	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Trunk	dendritic shaft
Torsos	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Trunk	dendritic shaft
TRUNK	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Trunk	dendritic shaft
trunk	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Trunk	dendritic shaft
Torso	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Trunk	dendritic shaft
torso	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Trunk	dendritic shaft
Truncus	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Trunk	dendritic shaft
PTCL	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Mature_T_Cell_and_NK_Cell_Non_Hodgkin_Lymphoma	Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma
Triceps	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Triceps_Brachii	Entire triceps brachii
Tonsils	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Palatine_Tonsil	Palatine Tonsil
tonsil	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Palatine_Tonsil	Palatine Tonsil
TONSIL	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Palatine_Tonsil	Palatine Tonsil
Tonsil	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Palatine_Tonsil	Palatine Tonsil
Nenana	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Nenana	Nenana Indians
PAIN_TEMPORAL_PATTERN	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#PainTemporalPattern_Section	PAIN TEMPORAL PATTERN
PRCA	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Proximal_Right_Coronary_Artery_Conduit	Proximal Right Coronary Artery Conduit
ADMISSION_DIAGNOSIS	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#AdmissionDiagnosis_Section	ADMISSION DIAGNOSIS
Aleutian	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Aleutian	Aleutian Aleuts
Immunoblastomas	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Immunoblastic_Lymphoma	Immunoblastic Large-Cell Lymphoma
Immunoblastoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Immunoblastic_Lymphoma	Immunoblastic Large-Cell Lymphoma
pv	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Portal_Vein	Entire portal vein
PR	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Progesterone_Receptor_Status	Progesterone Receptor Status
BL	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Burkitt_Leukemia	Burkitt Lymphoma
Gamma-TuRC	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Gamma-Tubulin_Ring_Complex	Gamma-Tubulin Ring Complex
Nerve	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Nerve	Entire nerve
nerve	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Nerve	Entire nerve
NERVE	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Nerve	Entire nerve
Nervus	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Nerve	Entire nerve
Spectroscopy	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Spectroscopy	Spectrum Analysis
spectroscopy	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Spectroscopy	Spectrum Analysis
ABI-007	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Paclitaxel_Albumin_Stabilized_Nanoparticle_Formulation	Paclitaxel Albumin-Stabilized Nanoparticle Formulation
nab-paclitaxel	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Paclitaxel_Albumin_Stabilized_Nanoparticle_Formulation	Paclitaxel Albumin-Stabilized Nanoparticle Formulation
Abraxane	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Paclitaxel_Albumin_Stabilized_Nanoparticle_Formulation	Paclitaxel Albumin-Stabilized Nanoparticle Formulation
Synovium	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Synovial_Membrane	Synovial Membrane
synovium	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Synovial_Membrane	Synovial Membrane
Salinan	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Salinan	Salinan Indians
TZ	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Transitional_Zone_of_the_Prostatic_Parenchyma	Transitional Zone of the Prostatic Parenchyma
insula	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Central_Lobe	Insula of Reil
Insula	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Central_Lobe	Insula of Reil
hepatobiliary	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Hepatobiliary_System	Hepatobiliary System
Temporalis	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Temporal_Muscle	Temporal Muscle
Haida	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Haida	Haida language
Ahe	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Gros_Ventres	Gros Ventres
Atsina	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Gros_Ventres	Gros Ventres
Ahahnelin	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Gros_Ventres	Gros Ventres
A'ananin	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Gros_Ventres	Gros Ventres
RaceAmericanIndianGrosVentres	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Gros_Ventres	Gros Ventres
INPATIENT_MEDICATIONS	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#InpatientMedications_Section	INPATIENT MEDICATIONS
Duodenum/Jejunum/Ileum	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Small_Intestinal_Wall_Tissue	Small Intestinal Wall Tissue
Cerebellum	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Cortical_Cell_Layer_of_the_Cerebellum	Cortical Cell Layer of the Cerebellum
Cerebellar	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Cortical_Cell_Layer_of_the_Cerebellum	Cortical Cell Layer of the Cerebellum
saliv	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Salivary_Gland	Salivary Gland
Fibroleiomyoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Uterine_Corpus_Leiomyoma	Uterine Fibroids
FIBROIDS	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Uterine_Corpus_Leiomyoma	Uterine Fibroids
Fibromyoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Uterine_Corpus_Leiomyoma	Uterine Fibroids
Fibroids	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Uterine_Corpus_Leiomyoma	Uterine Fibroids
Leiomyoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Uterine_Corpus_Leiomyoma	Uterine Fibroids
fibromyoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Uterine_Corpus_Leiomyoma	Uterine Fibroids
UL	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Uterine_Corpus_Leiomyoma	Uterine Fibroids
Leiomyofibroma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Uterine_Corpus_Leiomyoma	Uterine Fibroids
Radius.diaphysis	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Radius_Shaft	Radius Shaft
PFS	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Progression_free_Survival	Progression-free Survival
Luiseno	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Luiseno	Luiseno Indians
RaceAmericanIndianLuiseno	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Luiseno	Luiseno Indians
MLAD	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Mid-Left_Anterior_Descending_Artery	Mid-Left Anterior Descending Artery
Germinoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Germinoma	Pineal germinoma
Germinomas	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Germinoma	Pineal germinoma
germinoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Germinoma	Pineal germinoma
DO-22	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#San_Juan	San Juan race
AR-J	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#San_Juan	San Juan race
HEAD_PERCENTILE	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#HeadPercentile_Section	HEAD PERCENTILE
Sioux	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Sioux	Sioux Indians
Dakhota	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Sioux	Sioux Indians
Dakota	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Sioux	Sioux Indians
Santee-Sisseton	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Sioux	Sioux Indians
RaceAmericanIndianSioux	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Sioux	Sioux Indians
Santee	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Sioux	Sioux Indians
RaceAlaskanNativeAleutKoniag	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Koniag_Aleut	Koniag Aleut
Kickapoo	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Kickapoo	Kickapoo race
RaceAmericanIndianKickapoo	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Kickapoo	Kickapoo race
Kikapu	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Kickapoo	Kickapoo race
SWE	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Shear_Wave_Elastography	Shear Wave Elastography
CEL	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Chronic_Eosinophilic_Leukemia_Not_Otherwise_Specified	Chronic Eosinophilic Leukemia, Not Otherwise Specified
Claustrum	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Claustrum	Entire claustrum
claustrum	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Claustrum	Entire claustrum
REASON_FOR_STUDY	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#ReasonForStudy_Section	REASON FOR STUDY
Haliwa	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Haliwa	Haliwa race
Winnemucca	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Winnemucca	Winnemucca Indians
Aranelle	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ethinyl_Estradiol_Norethindrone	Ethinyl Estradiol/Norethindrone
Modicon	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ethinyl_Estradiol_Norethindrone	Ethinyl Estradiol/Norethindrone
Ovcon	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ethinyl_Estradiol_Norethindrone	Ethinyl Estradiol/Norethindrone
Brevicon	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ethinyl_Estradiol_Norethindrone	Ethinyl Estradiol/Norethindrone
Ortho-Novum	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ethinyl_Estradiol_Norethindrone	Ethinyl Estradiol/Norethindrone
Nortrel	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ethinyl_Estradiol_Norethindrone	Ethinyl Estradiol/Norethindrone
Gencept	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ethinyl_Estradiol_Norethindrone	Ethinyl Estradiol/Norethindrone
Norcept-E	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ethinyl_Estradiol_Norethindrone	Ethinyl Estradiol/Norethindrone
Norethin	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ethinyl_Estradiol_Norethindrone	Ethinyl Estradiol/Norethindrone
Norinyl	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ethinyl_Estradiol_Norethindrone	Ethinyl Estradiol/Norethindrone
Balziva	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ethinyl_Estradiol_Norethindrone	Ethinyl Estradiol/Norethindrone
Tectum	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Tectum_Mesencephali	Tectum Mesencephali
Arab	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Arab	arab ethnic group
Arabs	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Arab	arab ethnic group
Anaktuvuk	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Anaktuvuk	Anaktuvuk Eskimos
NOR	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Nucleolar_Organizer_Region	Nucleolar Organizer Region
%{Predicted}	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Percent_of_Predicted_Value	Percent of Predicted Value
Tsimshian	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Tsimshian	Tsimshian Indians
RaceSoutheastAlaskanIndianTsimshian	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Tsimshian	Tsimshian Indians
BRCA-2	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#BRCA2_Gene_Mutation	BRCA2 Gene Mutation
BRCA2	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#BRCA2_Gene_Mutation	BRCA2 Gene Mutation
BRC2	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#BRCA2_Gene_Mutation	BRCA2 Gene Mutation
Osteons	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Haversian_System	Haversian System
Osteonum	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Haversian_System	Haversian System
osteon	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Haversian_System	Haversian System
Osteon	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Haversian_System	Haversian System
WEIGHT_PERCENTILE	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#WeightPercentile_Section	WEIGHT PERCENTILE
WT%	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#WeightPercentile_Section	WEIGHT PERCENTILE
WT	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#WeightPercentile_Section	WEIGHT PERCENTILE
Costanoan	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Costanoan	Costanoan race
EGC	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Early_Gastric_Cancer	Early gastric cancer
Hawaiian	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Native_Hawaiian	Native Hawaiian
HAWAIIAN	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Native_Hawaiian	Native Hawaiian
Hawaiians	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Native_Hawaiian	Native Hawaiian
Cuboid	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Cuboid_Bone	Cuboid Bone
cuboid	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Cuboid_Bone	Cuboid Bone
CTI	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Computerized_Thermal_Imaging	Computerized Thermal Imaging
Wainwright	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Wainwright	Wainwright Eskimos
Anus	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Anus	Anal Disorder
Anal	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Anus	Anal Disorder
ANUS	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Anus	Anal Disorder
anus	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Anus	Anal Disorder
anal	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Anus	Anal Disorder
PPNET	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Peripheral_Primitive_Neuroectodermal_Tumor	Peripheral Primitive Neuroectodermal Tumor
PNE	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Peripheral_Primitive_Neuroectodermal_Tumor	Peripheral Primitive Neuroectodermal Tumor
pPNET	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Peripheral_Primitive_Neuroectodermal_Tumor	Peripheral Primitive Neuroectodermal Tumor
Orally	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Oral_Cavity	Entire oral cavity
Oral	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Oral_Cavity	Entire oral cavity
mouth	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Oral_Cavity	Entire oral cavity
Mouth	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Oral_Cavity	Entire oral cavity
RARS	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Refractory_Anemia_with_Ring_Sideroblasts	Refractory Anemia with Ring Sideroblasts
Tuntutuliak	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Tuntutuliak	Tuntutuliak Eskimos
9:30	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#9_30_o_clock_position	9:30 o'clock
7:30	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#7_30_o_clock_position	7:30 o'clock
8:30	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#8_30_o_clock_position	8:30 o'clock
Alanvik	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Alanvik	Alanvik Indians
HISTORY_OF_EXPOSURE	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#HistoryOfExposure_Section	HISTORY OF EXPOSURE
NDC-Zoledronate	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Zoledronic_Acid	Zoledronic Acid
Zoledronate	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Zoledronic_Acid	Zoledronic Acid
CGP42446A	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Zoledronic_Acid	Zoledronic Acid
Reclast	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Zoledronic_Acid	Zoledronic Acid
118072-93-8	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Zoledronic_Acid	Zoledronic Acid
Zometa	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Zoledronic_Acid	Zoledronic Acid
zoledronate	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Zoledronic_Acid	Zoledronic Acid
CGP-42446	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Zoledronic_Acid	Zoledronic Acid
NDC-zoledronate	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Zoledronic_Acid	Zoledronic Acid
CGP-42'446	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Zoledronic_Acid	Zoledronic Acid
721517	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Zoledronic_Acid	Zoledronic Acid
1:30	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#1_30_o_clock_position	1:30 o'clock
2:30	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#2_30_o_clock_position	2:30 o'clock
5:30	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#5_30_o_clock_position	5:30 o'clock
6:30	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#6_30_o_clock_position	6:30 o'clock
3:30	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#3_30_o_clock_position	3:30 o'clock
4:30	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#4_30_o_clock_position	4:30 o'clock
RAD	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Radiology_report	Radiology report
Vertebra	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Vertebral_Bone	Vertebral Bone
prolactinoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Prolactin_Producing_Pituitary_Gland_Adenoma	Prolactin-Producing Pituitary Gland Adenoma
PROLACTINOMA	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Prolactin_Producing_Pituitary_Gland_Adenoma	Prolactin-Producing Pituitary Gland Adenoma
Prolactinoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Prolactin_Producing_Pituitary_Gland_Adenoma	Prolactin-Producing Pituitary Gland Adenoma
Prolactinomas	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Prolactin_Producing_Pituitary_Gland_Adenoma	Prolactin-Producing Pituitary Gland Adenoma
RaceAlaskanNativeAleutAlutiiq	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Alutiiq_Aleut	Alutiiq Aleut Alaska Natives
Korean	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Korean	Korean race
Koreans	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Korean	Korean race
KOREAN	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Korean	Korean race
Heart.valves	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Cardiac_Valve	Cardiac Valve
CBCL	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Cutaneous_B_Cell_Non_Hodgkin_Lymphoma	Cutaneous B-Cell Non-Hodgkin Lymphoma
MEDICATION_HISTORY	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#MedicationHistory_Section	MEDICATION HISTORY
aggressive	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Aggressive_course	Aggressive course
Aggressive	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Aggressive_course	Aggressive course
Doyon	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Doyon	Doyon Indians
Size:Len:Pt:Tumor:Qn	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Tumor_Size	Tumor Size
BRCA-1	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#BRCA1_Gene_Mutation	BRCA1 Gene Mutation
BRCA1	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#BRCA1_Gene_Mutation	BRCA1 Gene Mutation
BRC1	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#BRCA1_Gene_Mutation	BRCA1 Gene Mutation
Ambler	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ambler	Ambler Eskimos
SMM	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Smoldering_Plasma_Cell_Myeloma	Smoldering myeloma
SCCL	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Small_Cell_Lung_Carcinoma	Small cell carcinoma of lung
SCLC1	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Small_Cell_Lung_Carcinoma	Small cell carcinoma of lung
SCLC	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Small_Cell_Lung_Carcinoma	Small cell carcinoma of lung
Yokuts	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Yokuts	Yokuts Indians
Umbilical	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Umbilical_Region	Entire umbilical region
navel	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Umbilical_Region	Entire umbilical region
Navel	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Umbilical_Region	Entire umbilical region
UMBILICUS	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Umbilical_Region	Entire umbilical region
Umbilicus	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Umbilical_Region	Entire umbilical region
umbilicus	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Umbilical_Region	Entire umbilical region
SPLEEN	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Splenic_Tissue	Splenic Tissue
Neurilemma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Sheath_of_Schwann	Sheath of Schwann
Yuman	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Yuman	Yuman Language
RaceAmericanIndianYuman	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Yuman	Yuman Language
ALL1	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Acute_Lymphoblastic_Leukemia	NCI CTEP SDC Acute Lymphoblastic Leukemia Sub-Category Terminology
ALL	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Acute_Lymphoblastic_Leukemia	NCI CTEP SDC Acute Lymphoblastic Leukemia Sub-Category Terminology
RLFA	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Right_Lower_Forearm	Right Lower Forearm
Hyoglossus	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Hyoglossus_Muscle	Hyoglossus Muscle
Malignancy	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Malignant_Neoplasm	Malignant Neoplasm
CA	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Malignant_Neoplasm	Malignant Neoplasm
Cancers	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Malignant_Neoplasm	Malignant Neoplasm
Blastoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Malignant_Neoplasm	Malignant Neoplasm
CANCER	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Malignant_Neoplasm	Malignant Neoplasm
cancer	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Malignant_Neoplasm	Malignant Neoplasm
MALIGNANCIES	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Malignant_Neoplasm	Malignant Neoplasm
Cancer	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Malignant_Neoplasm	Malignant Neoplasm
